"Story","Title","Result","Date","Stability","Duration (s)"
"Contact Us Form","Validation of the ""Save time and money"" form without entering an email address","SUCCESS","2023-09-27T15:22:17.585-05:00[America/Bogota]","0.0","9.81"
"Contact Us Form","Validation of the ""Save time and money"" form with numbers","SUCCESS","2023-09-27T15:22:28.245-05:00[America/Bogota]","0.0","7.12"
"Contact Us Form","Validation of ""Save time and money"" form letters","SUCCESS","2023-09-27T15:22:36.065-05:00[America/Bogota]","0.0","8.33"
"Contact Us Form","Validation of the ""Save time and money"" form with symbols","SUCCESS","2023-09-27T15:22:45.1-05:00[America/Bogota]","0.0","8.74"
"Contact Us Form","Validation of ""Save time and money"" form with alphanumeric","SUCCESS","2023-09-27T15:22:54.58-05:00[America/Bogota]","0.0","7.16"
"Contact Us Form","Validación of the ""Save Time and Money"" form with mailing","SUCCESS","2023-09-27T15:23:02.477-05:00[America/Bogota]","0.0","6.46"
"Register","registration failed due to special characters","SUCCESS","2023-09-27T12:00:42.761-05:00[America/Bogota]","0.0","12.57"
"Register","Successful register","SUCCESS","2023-09-27T18:04:33.379-05:00[America/Bogota]","0.0","18.22"
"Register","Failed registration due to numerical data","SUCCESS","2023-09-27T18:04:52.451-05:00[America/Bogota]","0.0","12.7"
"Register","Failed Registration due to special characters","SUCCESS","2023-09-27T18:05:05.909-05:00[America/Bogota]","0.0","11.92"
"Register","Register Fail","SUCCESS","2023-09-27T18:05:18.56-05:00[America/Bogota]","0.0","12.23"
"Register","Failed registration empty fields in email","SUCCESS","2023-09-27T18:05:31.612-05:00[America/Bogota]","0.0","14.89"
"Register","Registration failed, empty password fields","SUCCESS","2023-09-27T18:05:47.202-05:00[America/Bogota]","0.0","15.84"
