"Story","Title","Result","Date","Stability","Duration (s)"
"Change page language","Validation of language change to ""English US","PENDING","2023-09-27T16:24:33.763-05:00[America/Bogota]","0.0","9.83"
"Change page language","Validation of language change to ""English UK""","PENDING","2023-09-27T16:24:44.429-05:00[America/Bogota]","0.0","6.33"
"Change page language","Validation of language change to ""French""","PENDING","2023-09-27T16:24:51.473-05:00[America/Bogota]","0.0","6.22"
"Change page language","Validation of language change to ""German""","PENDING","2023-09-27T16:24:58.412-05:00[America/Bogota]","0.0","5.91"
"Change page language","Validation of language change to ""Portuguese""","PENDING","2023-09-27T16:25:05.078-05:00[America/Bogota]","0.0","6.07"
"Change page language","Validation of language change to ""Portuguese PT""","PENDING","2023-09-27T16:25:11.856-05:00[America/Bogota]","0.0","5.81"
"Change page language","Validation of language change to ""Italian""","PENDING","2023-09-27T16:25:18.385-05:00[America/Bogota]","0.0","6.17"
"Change page language","Validation of language change to ""Japanese""","PENDING","2023-09-27T16:25:25.238-05:00[America/Bogota]","0.0","6.41"
"Change page language","Validation of language change to ""Mandarin""","PENDING","2023-09-27T16:25:32.357-05:00[America/Bogota]","0.0","6.33"
"Change page language","Validation of language change to ""Russian""","PENDING","2023-09-27T16:25:39.387-05:00[America/Bogota]","0.0","6.35"
"Change page language","Validation of language change to ""Greek""","PENDING","2023-09-27T16:25:46.444-05:00[America/Bogota]","0.0","6.64"
"Change page language","Validation of language change to ""Polish""","PENDING","2023-09-27T16:25:53.774-05:00[America/Bogota]","0.0","6.27"
"Change page language","Validation of language change to ""Filipino""","PENDING","2023-09-27T16:26:00.765-05:00[America/Bogota]","0.0","6.86"
